angle_Horizontal	Horizontal	Horizontal_reverse
0	0	31.8
1	0	31.8
2	0	31.8
3	0	31.8
4	0.1	31.7
5	0.1	31.7
6	0.1	31.7
7	0.2	31.6
8	0.2	31.6
9	0.3	31.5
10	0.3	31.5
11	0.4	31.4
12	0.5	31.3
13	0.5	31.3
14	0.6	31.2
15	0.7	31.1
16	0.8	31
17	0.8	31
18	1	30.8
19	1.1	30.7
20	1.2	30.6
21	1.3	30.5
22	1.4	30.4
23	1.6	30.2
24	1.7	30.1
25	1.8	30
26	2	29.8
27	2.1	29.7
28	2.3	29.5
29	2.4	29.4
30	2.6	29.2
31	2.8	29
32	2.9	28.9
33	3.1	28.7
34	3.3	28.5
35	3.5	28.3
36	3.7	28.1
37	3.9	27.9
38	4.1	27.7
39	4.3	27.5
40	4.5	27.3
41	4.8	27
42	5	26.8
43	5.2	26.6
44	5.5	26.3
45	5.7	26.1
46	6	25.8
47	6.2	25.6
48	6.5	25.3
49	6.7	25.1
50	7	24.8
51	7.2	24.6
52	7.5	24.3
53	7.8	24
54	8	23.8
55	8.3	23.5
56	8.6	23.2
57	8.9	22.9
58	9.2	22.6
59	9.4	22.4
60	9.7	22.1
61	10.1	21.7
62	10.3	21.5
63	10.6	21.2
64	10.9	20.9
65	11.2	20.6
66	11.5	20.3
67	11.8	20
68	12.1	19.7
69	12.4	19.4
70	12.7	19.1
71	12.9	18.9
72	13.2	18.6
73	13.5	18.3
74	13.8	18
75	14.1	17.7
76	14.3	17.5
77	14.6	17.2
78	15.2	16.6
79	15.5	16.3
80	15.8	16
81	16	15.8
82	16.3	15.5
83	16.6	15.2
84	16.8	15
85	17.1	14.7
86	17.3	14.5
87	17.6	14.2
88	17.8	14
89	18.1	13.7
90	18.3	13.5
91	18.5	13.3
92	18.8	13
93	19	12.8
94	19.2	12.6
95	19.4	12.4
96	19.6	12.2
97	19.8	12
98	20	11.8
99	20.2	11.6
100	20.4	11.4
101	20.6	11.2
102	20.8	11
103	21	10.8
104	21.1	10.7
105	21.3	10.5
106	21.4	10.4
107	21.6	10.2
108	21.7	10.1
109	21.8	10
110	22	9.8
111	22	9.8
112	22.2	9.6
113	22.3	9.5
114	22.4	9.4
115	22.6	9.2
116	22.7	9.1
117	22.9	8.9
118	23	8.8
119	23.1	8.7
120	23.2	8.6
121	23.2	8.6
122	23.4	8.4
123	23.5	8.3
124	23.6	8.2
125	23.7	8.1
126	23.8	8
127	23.9	7.9
128	24.1	7.7
129	24.2	7.6
130	24.4	7.4
131	24.5	7.3
132	24.6	7.2
133	24.8	7
134	24.9	6.9
135	25.1	6.7
136	25.1	6.7
137	25.3	6.5
138	25.4	6.4
139	25.6	6.2
140	25.7	6.1
141	25.8	6
142	26	5.8
143	26.3	5.5
144	26.5	5.3
145	26.8	5
146	26.8	5
147	26.8	5
148	26.9	4.9
149	27.1	4.7
150	27.2	4.6
151	27.5	4.3
152	27.9	3.9
153	28.1	3.7
154	28.5	3.3
155	28.8	3
156	29.1	2.7
157	29.5	2.3
158	29.7	2.1
159	29.9	1.9
160	30.1	1.7
161	30.4	1.4
162	30.7	1.1
163	31	0.8
164	31.3	0.5
165	31.4	0.4
166	31.4	0.4
167	31.8	0
168	31.8	0
169	31.5	0.3
170	31.4	0.4
171	31.1	0.7
172	30.9	0.9
173	30.8	1
174	30.7	1.1
175	30.8	1
176	30.5	1.3
177	30.1	1.7
178	29.9	1.9
179	29.7	2.1
180	29.5	2.3
181	29.7	2.1
182	29.7	2.1
183	29.8	2
184	29.7	2.1
185	29.8	2
186	29.8	2
187	29.8	2
188	29.8	2
189	30	1.8
190	30.3	1.5
191	30.5	1.3
192	30.7	1.1
193	30.9	0.9
194	30.9	0.9
195	31.1	0.7
196	31	0.8
197	31.2	0.6
198	31.3	0.5
199	31.3	0.5
200	31.4	0.4
201	31.3	0.5
202	31.3	0.5
203	31.3	0.5
204	31.1	0.7
205	30.9	0.9
206	30.5	1.3
207	30.1	1.7
208	29.9	1.9
209	29.6	2.2
210	29.1	2.7
211	28.8	3
212	28.5	3.3
213	28	3.8
214	27.7	4.1
215	27.3	4.5
216	27	4.8
217	26.7	5.1
218	26.4	5.4
219	26	5.8
220	25.7	6.1
221	25.5	6.3
222	25.2	6.6
223	25	6.8
224	24.8	7
225	24.6	7.2
226	24.4	7.4
227	24.2	7.6
228	24	7.8
229	23.7	8.1
230	23.6	8.2
231	23.4	8.4
232	23.3	8.5
233	23.1	8.7
234	22.9	8.9
235	22.9	8.9
236	22.7	9.1
237	22.6	9.2
238	22.4	9.4
239	22.3	9.5
240	22.2	9.6
241	22.2	9.6
242	22	9.8
243	21.9	9.9
244	21.9	9.9
245	21.7	10.1
246	21.6	10.2
247	21.4	10.4
248	21.3	10.5
249	21.3	10.5
250	21.2	10.6
251	21	10.8
252	20.9	10.9
253	20.8	11
254	20.6	11.2
255	20.5	11.3
256	20.4	11.4
257	20.3	11.5
258	20.1	11.7
259	19.9	11.9
260	19.8	12
261	19.6	12.2
262	19.4	12.4
263	19.2	12.6
264	19	12.8
265	18.8	13
266	18.6	13.2
267	18.4	13.4
268	18.2	13.6
269	18	13.8
270	17.7	14.1
271	17.5	14.3
272	17.3	14.5
273	17	14.8
274	16.8	15
275	16.5	15.3
276	16.3	15.5
277	16.1	15.7
278	15.8	16
279	15.6	16.2
280	15.3	16.5
281	15	16.8
282	14.8	17
283	14.1	17.7
284	13.9	17.9
285	13.6	18.2
286	13.3	18.5
287	13	18.8
288	12.8	19
289	12.5	19.3
290	12.2	19.6
291	11.9	19.9
292	11.7	20.1
293	11.4	20.4
294	11.1	20.7
295	10.8	21
296	10.6	21.2
297	10.3	21.5
298	10	21.8
299	9.7	22.1
300	9.4	22.4
301	9.2	22.6
302	8.9	22.9
303	8.6	23.2
304	8.3	23.5
305	8.1	23.7
306	7.8	24
307	7.6	24.2
308	7.3	24.5
309	7.1	24.7
310	6.8	25
311	6.6	25.2
312	6.3	25.5
313	6.1	25.7
314	5.8	26
315	5.6	26.2
316	5.4	26.4
317	5.2	26.6
318	4.9	26.9
319	4.7	27.1
320	4.5	27.3
321	4.3	27.5
322	4.1	27.7
323	3.9	27.9
324	3.7	28.1
325	3.5	28.3
326	3.3	28.5
327	3.1	28.7
328	2.9	28.9
329	2.8	29
330	2.6	29.2
331	2.4	29.4
332	2.3	29.5
333	2.1	29.7
334	2	29.8
335	1.8	30
336	1.7	30.1
337	1.6	30.2
338	1.4	30.4
339	1.3	30.5
340	1.2	30.6
341	1.1	30.7
342	1	30.8
343	0.9	30.9
344	0.8	31
345	0.7	31.1
346	0.6	31.2
347	0.5	31.3
348	0.5	31.3
349	0.4	31.4
350	0.3	31.5
351	0.2	31.6
352	0.2	31.6
353	0.2	31.6
354	0.1	31.7
355	0.1	31.7
356	0.1	31.7
357	0.1	31.7
358	0	31.8
359	0	31.8
