angle_Vertical	Vertical	Vertical_reverse
0	27.8	32.2
1	27.5	32.5
2	27.1	32.9
3	26.7	33.3
4	26.4	33.6
5	26.2	33.8
6	26	34
7	25.8	34.2
8	25.7	34.3
9	25.6	34.4
10	25.6	34.4
11	25.8	34.2
12	26	34
13	26.2	33.8
14	26.6	33.4
15	27.2	32.8
16	27.9	32.1
17	28.9	31.1
18	30.1	29.9
19	31.5	28.5
20	33.3	26.7
21	35.8	24.2
22	38	22
23	39	21
24	36.6	23.4
25	33.9	26.1
26	31.4	28.6
27	29.5	30.5
28	27.9	32.1
29	26.6	33.4
30	25.5	34.5
31	24.7	35.3
32	24.1	35.9
33	23.6	36.4
34	23.3	36.7
35	23.3	36.7
36	23.5	36.5
37	24	36
38	24.9	35.1
39	26.3	33.7
40	28.4	31.6
41	31.8	28.2
42	36.5	23.5
43	35.6	24.4
44	30.3	29.7
45	26.4	33.6
46	23.8	36.2
47	21.9	38.1
48	20.6	39.4
49	19.7	40.3
50	19.3	40.7
51	19.3	40.7
52	19.7	40.3
53	20.7	39.3
54	22.4	37.6
55	24.6	35.4
56	27.5	32.5
57	28.5	31.5
58	25.5	34.5
59	22.3	37.7
60	20.2	39.8
61	18.7	41.3
62	17.8	42.2
63	17.6	42.4
64	17.9	42.1
65	18.9	41.1
66	20.8	39.2
67	23.6	36.4
68	25.5	34.5
69	22.7	37.3
70	19.1	40.9
71	16.3	43.7
72	13.9	46.1
73	12.6	47.4
74	11.8	48.2
75	11.7	48.3
76	12.2	47.8
77	13.6	46.4
78	16.7	43.3
79	22.8	37.2
80	29.4	30.6
81	17.2	42.8
82	11.5	48.5
83	7.9	52.1
84	5.4	54.6
85	3.6	56.4
86	2.2	57.8
87	1.2	58.8
88	0.5	59.5
89	0.1	59.9
90	0	60
91	0.2	59.8
92	0.5	59.5
93	1.1	58.9
94	2.1	57.9
95	3.5	56.5
96	5.2	54.8
97	7.6	52.4
98	10.7	49.3
99	15.9	44.1
100	24.8	35.2
101	28.5	31.5
102	19.3	40.7
103	15.9	44.1
104	14	46
105	13.4	46.6
106	13.5	46.5
107	14.3	45.7
108	16	44
109	18.2	41.8
110	20.9	39.1
111	24	36
112	25.2	34.8
113	23.5	36.5
114	21.9	38.1
115	20.7	39.3
116	20.4	39.6
117	20.9	39.1
118	22.3	37.7
119	24.9	35.1
120	29.6	30.4
121	42.1	17.9
122	31.6	28.4
123	25.1	34.9
124	21.8	38.2
125	19.7	40.3
126	18.4	41.6
127	17.6	42.4
128	17.4	42.6
129	17.4	42.6
130	17.9	42.1
131	18.7	41.3
132	19.9	40.1
133	21.6	38.4
134	23.7	36.3
135	26.4	33.6
136	28.5	31.5
137	28.8	31.2
138	27.2	32.8
139	25.4	34.6
140	24	36
141	23	37
142	22.4	37.6
143	22.1	37.9
144	22.2	37.8
145	22.4	37.6
146	22.8	37.2
147	23.5	36.5
148	24.4	35.6
149	25.5	34.5
150	26.9	33.1
151	28.5	31.5
152	30.6	29.4
153	33.2	26.8
154	36.8	23.2
155	42	18
156	43.6	16.4
157	39.7	20.3
158	35.7	24.3
159	33.1	26.9
160	31.2	28.8
161	29.8	30.2
162	28.7	31.3
163	27.9	32.1
164	27.2	32.8
165	26.7	33.3
166	26.2	33.8
167	26	34
168	25.8	34.2
169	25.7	34.3
170	25.7	34.3
171	25.8	34.2
172	25.9	34.1
173	26.1	33.9
174	26.4	33.6
175	26.8	33.2
176	27.2	32.8
177	27.8	32.2
178	28.3	31.7
179	28.8	31.2
180	29.5	30.5
181	30.2	29.8
182	30.9	29.1
183	31.6	28.4
184	32.5	27.5
185	33.3	26.7
186	34.1	25.9
187	34.8	25.2
188	35.4	24.6
189	35.9	24.1
190	36.3	23.7
191	36.7	23.3
192	36.8	23.2
193	36.9	23.1
194	37	23
195	36.8	23.2
196	37	23
197	37.5	22.5
198	38	22
199	38.7	21.3
200	39.7	20.3
201	41	19
202	42.3	17.7
203	44.5	15.5
204	48	12
205	49.1	10.9
206	49.8	10.2
207	47	13
208	44.7	15.3
209	42.6	17.4
210	41.3	18.7
211	40.7	19.3
212	40	20
213	40.1	19.9
214	40.7	19.3
215	41.3	18.7
216	41.8	18.2
217	42.3	17.7
218	42.1	17.9
219	41.5	18.5
220	40.3	19.7
221	39.3	20.7
222	38.9	21.1
223	39.1	20.9
224	39.6	20.4
225	40.7	19.3
226	42.4	17.6
227	44.4	15.6
228	44.3	15.7
229	42	18
230	39.5	20.5
231	37.1	22.9
232	35.7	24.3
233	35.1	24.9
234	35.1	24.9
235	35.6	24.4
236	36.7	23.3
237	38.5	21.5
238	41.5	18.5
239	45.1	14.9
240	47.9	12.1
241	48.3	11.7
242	47.2	12.8
243	46.9	13.1
244	46.7	13.3
245	48.6	11.4
246	53.4	6.6
247	56.7	3.3
248	51.8	8.2
249	48.9	11.1
250	46.4	13.6
251	45.3	14.7
252	44.9	15.1
253	45.6	14.4
254	46.2	13.8
255	45.5	14.5
256	46.2	13.8
257	47	13
258	48.4	11.6
259	50.3	9.7
260	53.2	6.8
261	60	0
262	49.7	10.3
263	42.1	17.9
264	37.4	22.6
265	34.1	25.9
266	31.4	28.6
267	29.5	30.5
268	28	32
269	27.2	32.8
270	26.7	33.3
271	26.6	33.4
272	27.1	32.9
273	27.9	32.1
274	29.2	30.8
275	31.1	28.9
276	33.3	26.7
277	36.3	23.7
278	39.3	20.7
279	42.9	17.1
280	44	16
281	44.3	15.7
282	43.6	16.4
283	43.2	16.8
284	42.2	17.8
285	41.7	18.3
286	41.2	18.8
287	41.6	18.4
288	41.9	18.1
289	42	18
290	42	18
291	42.3	17.7
292	42.3	17.7
293	41.5	18.5
294	40.8	19.2
295	40.4	19.6
296	40.6	19.4
297	41.6	18.4
298	44	16
299	47.2	12.8
300	55.3	4.7
301	47.4	12.6
302	41.4	18.6
303	37.6	22.4
304	35.6	24.4
305	34.4	25.6
306	34	26
307	34	26
308	34.9	25.1
309	36.4	23.6
310	39.1	20.9
